Manutenzione Ordinaria (Tagliando) (Si/No),Campagna di richiamo/in garanzia (Si/No),Lavorazione per riparazione (Si/No),Raccomandabilità,Soluzione al primo tentativo,Accoglienza,Verifica tempistiche di prenotazione,Fornito Preventivo,Spiegazione lavori effettuati,10 a casa madre,Note cliente
No,No,Si,10,Si,10,10,Si,10,Si,Tutto perfetto
Si,No,No,8,,9,10,Si,8,No,"Il costo del tagliando è stato di circa 200€ in più rispetto quanto riportato sul sito toyota nella sezione tagliando vedochiaro, e nessuno è stato in grado di darmi spiegazioni accurate. Penso che dovreste chiarire questo punto con Toyota perché altrimen"
No,Si,No,10,,10,10,,10,Si,https://www.autotorino.it/note-informative/questionario-soddisfazione-clienti
Si,Si,No,10,,10,10,No,10,Si,Soddisfatto. A pieni voti. *** gentilissimo.
Si,Si,No,10,,10,10,No,9,No,"È stato messo un additivo nel serbatoio della benzina non richiesto oltretutto ne avevo messo uno io da poco, almeno avreste potuto chiedere se era necessario metterlo. Inoltre mi è stato fatto pagare addirittura un rabbocco per il liquido del lavavetri p"
No,No,No,10,,10,10,,10,Si,"Solo grandi complimenti per la vs. *** in accettazione officina. Efficiente e precisa, sempre sorridente , mai fuori tema. *** superstar !"
No,Si,No,10,,10,10,,10,Si,Contattare e Insistere con la casa madre per Trovare una soluzione al problema della telecamera posteriore che soprattutto alla sera con il buio continua ad aprirsi e chiudersi perché non riesce a “calibrarsi “. Cosa che essendo a movimento meccanico e se
Si,No,No,9,,9,9,Si,10,Si,Nulla
Si,No,No,8,,8,8,No,9,Si,Non do il massimo solo perché si può sempre fare di più. Sono un cliente con 10 macchine acquistate in Autotorino quindi si può capire se sono soddisfatto.
Si,No,No,9,,9,9,Si,9,Si,Fatemi un forte sconto sul prossimo acquisto … ciao
Si,No,No,9,,9,9,Si,9,Si,Un pò troppo lunghi i tempi di attesa per l'appuntamento
Si,No,No,10,,10,10,Si,10,Si,"cambio automatico olio sostizione, ottimo"
Si,No,No,10,,10,10,No,10,Si,Curare un po’ di più il post- vendita
Si,No,No,10,,10,10,No,10,No,A fronte delle mail che mandate per contenuti commerciali o di marketing sarebbe stata gradita maggiore cura nel ricordare al cliente che passati 24 mesi dall’acquisto alcune garanzie scadevano e che non sono più  rinnovabili (nonostante i tagliandi REGOL
Si,No,No,10,,10,10,Si,10,Si,"***, come sempre da anni, e' SUPER!!!! Anche l'altra *** è bravissima! Complimenti"
No,No,Si,4,No,4,4,Si,4,No,Tempi troppo lunghi non è stata trovata la causa che ha determinato il blocco della macchina assurdo
Si,No,Si,9,No,9,9,No,9,Si,"Un consiglio! Un meccanico alla consegna dell’autovettura sarebbe meglio. Questo permetterebbe di verificare se quanto richiesto in fase di accettazione, nel mio caso rumori nella parte anteriore sx e nella porta lato dx dell’auto siano stati risolti  o m"
Si,No,No,8,,10,10,Si,8,Si,La professionalità non è in discussione. Il prezzo dell'olio mi sembra esagerato. Con una ricerca lo stesso tipo di olio costa meno della metà
Si,No,No,10,,10,10,Si,10,Si,Molto disponibili! Offerto un passaggio nelle vicinanze
No,No,Si,4,No,10,10,Si,8,No,"Dopo 3 anni sto ancora aspettando dall’Autotorino di Reggio Emilia di sapere la causa di bolle nel tettuccio di cristallo. Preventivo per la riparazione esorbitante, fatto sta che arrangiandomi ho speso 5 volte e mezzo di meno."
Si,No,No,9,,10,9,No,9,Si,"Magari un preventivo sarebbe stato gradito, per conoscere i costi. Tutto sommato il servizio è stato eccezionale così come la professionalità e la cortesia del vostro assistente in filiale."
Si,No,No,10,,10,10,Si,10,Si,"""Desidero ringraziare ufficialmente il rappresentante Mercedes per l’eccellente servizio di manutenzione della mia auto. Grazie per la professionalità, la disponibilità e l’attenzione ai dettagli. È sempre un piacere affidarsi"" ."
No,Si,No,10,,8,8,,10,No,"Avevo chiesto di controllare liquido raffreddamento, ma la vettura mi segnala che non è stato aggiunto."
Si,No,No,10,,10,10,Si,10,Si,"Complimenti alla consulente che mi ha seguito, Sig.ra *** ***. Molto professionale e molto competente!"
Si,No,No,9,,9,9,Si,9,Si,"Non è possibile e, soprattutto non è corretto, che per fissare un appuntamento un cliente debba chiamare più volte. So per certo che questo accade anche a molti altri clienti."
Si,No,No,10,,9,9,Si,9,Si,"Rimodulare le tariffe , troppo elevate"
Si,No,No,9,,9,9,Si,9,Si,nn
No,Si,No,10,,10,10,,10,Si,"Posseggo auto di altre case, dopo tagliando o manutenzioni varie le riconsegnano lavate... Piccola accortezza che fa la differenza"
Si,No,No,9,,9,9,Si,10,Si,Mi sono trovato bene come sempre. Personale molto professionale.
No,Si,Si,1,No,1,1,No,1,-,Ho chiamato in concessionaria per una spia accesa su mia BYD nuova e non ho più ricevuto nessuna risposta o contatto per fissare appuntamento. Per fortuna non è guasto che abbia lasciato senza automobile. Nel frattempo attendo un ricontatto.
Si,No,No,10,,10,10,Si,10,Si,Tutto ok
No,No,Si,9,Si,9,9,Si,9,Si,"Riparato (bucato causa vite )gomma anteriore dx, bene il lavoro max me eccessivo il costo €35"
Si,No,No,9,,9,9,Si,9,No,Scarsi posti auto liberi nel piazzale della concessionaria
No,No,Si,10,Si,10,10,Si,10,Si,"Tutto bene, grazie"
Si,No,No,10,,10,10,Si,9,Si,Complimenti per la gentilezza e competenza della signora *** all'accettazione
No,Si,No,8,,4,8,,9,No,"Avevo chiesto di valutare un problema che non mi era stato risolto dalla filiale di ***, ma sono stata rimbalzata dicendo Che non avevate tempo"
Si,No,No,5,,7,4,No,8,-,Lunghi tempi di attesa per un tagliando sia per la prenotazione che per il tagliando fatto
Si,Si,No,10,,10,10,Si,10,Si,Grazie a ***
No,No,Si,10,Si,10,10,Si,10,Si,Puntuali cortesia nulla da segnalare
No,No,Si,10,Si,10,10,Si,10,Si,"Ringrazio come sempre Autotorino di *** per la chiarezza nel preventivo e la cortesia nel darmi subito un appuntamento, dandomi una vettura di cortesia. In accettazione vorrei fare un complimento a *** di *** per la professionalità."
Si,No,No,10,,10,10,Si,10,Si,Niente da eccepire...accoglienza e professionalità da livello mercedes
Si,No,No,9,,9,7,Si,9,Si,Un mese per avere l'intervento è troppo. Perdevo olio dalla forcella e quindi non ho potuto usare la moto per un mese
No,No,Si,10,Si,9,9,Si,9,Si,Io di solito non metto mai il massimo perché Comunque si può e deve  sempre migliorare
Si,Si,No,10,,10,10,Si,9,Si,"Faccio i miei complimenti a tutto il personale di Toyota ***, sopratutto voto 10 anche a *** che ha seguito il tagliando e mi ha Attentamente cambiato gli ammortizzatori con difetto di fabbrica. Complimenti per il Vs servizio eccezio"
No,No,Si,10,Si,10,10,No,10,Si,L'unica pecca è organizzare il tagliando molto prima della scadenza per i tempi di attesa 🤷
No,No,Si,10,Si,10,10,Si,10,Si,Sodisfatto Sempre gentili e Premurosi verso il cliente Grazie
No,No,Si,10,Si,10,10,Si,10,Si,Per me tutto OK non ho nessuna lamentela
Si,Si,No,10,,10,10,No,10,Si,Il preventivo non è stato fatto perché usufruisco dei tagliandi prepagati Kia Care.
Si,No,No,10,,10,10,Si,10,No,*** è stato molto professionale ed esaustivo Personalmente è andato tutto bene ma trovo che il costo sia molto elevato.
Si,No,No,9,,7,9,Si,9,Si,Gentile kia non sono soddisfatto sol in una sola cosa. in 5 anni che faccio il tagliando nessuno mi ha detto di fare il tagliando all'anno stabilito cioè in aprile perché ho i tagliandi prepagate. Adesso l'operatore che mi ha compilato la pratica mi avve
No,No,Si,10,Si,10,2,Si,10,Si,Sono stata molto soddisfatta. Grazie mille
Si,No,No,10,,10,10,No,10,Si,ottimo intervento
No,No,Si,10,Si,10,10,Si,10,Si,"Mai vista una esistenza così celere e completa, persino in notturna. Complimenti!"
Si,No,No,10,,10,10,Si,10,Si,"Tutto ok,salvo i prezzi che li rittengo troppo alti."
Si,No,No,10,,10,10,Si,10,Si,*** = Gentile e competente *** = Gentile e pronta
Si,No,No,4,,4,4,Si,9,No,Migliorare l’accoglienza e la disponibilità Rispetto dei tempi negli appuntamenti Maggiore flessibilità negli orari in rispetto degli orari lavorativi delle persone che appunto  lavorano per  non obbligare a prendere permessi di lavoro
Si,No,No,10,,10,10,Si,10,Si,Gentilissimi
Si,No,No,6,,10,10,No,10,No,La garanzia dovrebbe essere più estesa sia per le parti esterne che interne della vettura....è un po limitata
Si,No,No,1,,10,5,No,1,No,Buongiorno sono un cliente da anni ma questa volta non sono stato per niente contento in quanto ho una questione irrisolta con il concessionario di Saronno. Ho acquistato la 500 elettrica con il pacchetto tagliandi compreso per 5 anni ma a quanto pare il
No,No,Si,10,No,10,10,Si,10,No,"Gentili Signori, Desidero esprimere il mio disappunto riguardo all’esperienza avuta presso la vostra sede di Roma per la riparazione del sistema di aria condizionata della mia Mercedes C200 Kompressor. 1. Mancanza di professionalità e di una comunicazione"
Si,No,No,6,,6,10,Si,8,No,L’assistenza non era a conoscenza del fatto che la manutenzione ordinaria e straordinaria era prevista nel contratto di acquisto dell’auto e voleva far pagare l’intervento. Durante l’intervento non è stato controllato il livello dell’adblue e ho dovuto in
Si,No,No,8,,10,8,Si,8,No,"Dopo aver detto che ero li per il ritiro, mi é stato chiesto di attendere.. e nel frattempo, tre persone sono passate davanti a me. Alla fine, quando finalmente mi consegnano l'auto, mi dicono con um sorriso che mi è stata offerta un ""gentile lavaggio""."
Si,No,No,10,,10,10,Si,10,Si,Benissimo
No,No,Si,2,Si,7,9,No,5,No,"Al momento della consegna dell’auto questa non si apriva quindi si è provveduto ad aprirla con la chiave manualmente, ma l’auto non metteva in moto.Dopo aver aperto il cofano ci si è accorti che il tappo dell’olio non era stato chiuso e che l’olio era sch"
Si,No,No,10,,10,10,Si,10,Si,Non ho avuto costi era compreso
No,No,Si,10,Si,10,10,Si,10,Si,Buon lavoro!!!!
No,No,Si,10,Si,10,8,Si,10,Si,Buongiorno Per il lavoro e l’accoglienza sono molto soddisfatto ma per quanto riguarda le tempistiche dell’appuntamento non molto Ritengo che un tempo di attesa di una settimana o più per manutenzione sia più che accettabile ma quando un veicolo non funzi
No,No,Si,10,Si,10,10,Si,10,Si,Veloci puntuali e precisi
Si,No,No,10,,10,10,Si,10,Si,"Buongiorno,mi ritengo soddisfatto per quanto riguarda la gestione dall'appunramento al ritiro dell'autovettura. Unico appunto, telecamera rumorosa sul retro, mentre autovettura è in movimento,mi hanno risposto che anche altri si sono lamentati sembra non"
Si,No,No,9,,9,9,Si,9,No,Se interventi straordinari i prezzi rimangono comunque alti nonostante la scontistica.
Si,No,No,5,,5,5,No,6,No,"Ieri è stato il PRIMO tagliando non mi sono trovato bene, già quando fissato appuntamento fatto presente controllo ammortizzatore,su fattura e dall'incaricato non so nulla,ma capito che alla VENDITA si è trattato da acquirenti e poi decade tutto già dal P"
No,Si,No,5,,5,4,,9,No,Poche disponibilità di date per appuntamenti visto l'urgenza dell'intervento dovuta al kilometraggio limitato dell'auto
No,No,Si,6,No,10,9,No,8,No,La concessionaria non è in grado di risolvere i problemi legati al GPL. Sono 3 mesi che porto l'auto in officina e ho sempre il problema alimentazione GPL.
Si,No,No,10,,10,10,Si,10,Si,Pienamente soddisfatto
No,No,Si,9,No,9,9,No,9,-,"Tutto perfetto, personale molto disponibile e preparato, unico neo la soluzione del problema della mia auto non so quando potrà essere risolto."
No,Si,No,9,,10,10,,10,Si,Nessun commento per una super efficenza
Si,No,No,7,,6,8,Si,6,No,"Mi spiace abbassare i miei voti che sono stati sempre molto alti, ma il cambio di politica, personale e gestione mi ha portato malcontento Questo tagliano (95000) molto caro, senza possibilità di confronto,  rapporto con l’officina inesistente, quello co"
Si,No,No,8,,8,8,Si,7,No,Come cliente da lunga data Toyota i prezzi a parità di lavoro sono lievitati troppo
Si,No,No,10,,10,10,Si,10,Si,Tutti bravi
Si,Si,Si,10,Si,10,10,Si,10,Si,Lavo 100% garantito .
Si,No,No,10,,9,9,Si,9,No,Nessun suggerimento
Si,No,No,10,,10,10,Si,10,Si,"Efficienza e velocità, complimenti. Nuova sede di *** bellissima."
Si,No,No,10,,10,10,Si,10,Si,"Sono stato soddisfatto in tutto, soprattutto per quanto riguarda la disponibilità e la professionalità del responsabile officina, ***. Ho potuto notare la pulizia, la puntualità e la gentilezza. Sono rimasto stupito dell'inaspettato del video esclusi"
Si,No,No,10,,10,10,No,10,Si,Nessuno
Si,No,No,8,,7,8,Si,6,No,Onestamente  per essere il primo tagliando mi e' parso eccessivo per un autovettura ibrida.
Si,No,No,10,,10,10,No,10,Si,Mi e stata data come auto di cortesia una smart elettrica con meno di 80 km di autonomia a piena carica utilizzando l aria condizionata. Dovendo muovermi fuori *** ed essendo impossibilitato e non pratico nella ricarica di auto elettriche sono riuscito
Si,No,No,10,,10,9,Si,10,Si,L’unico vero difetto è che i costi sono saliti molto più degli stipendi Comunque con Toyota ho dato 10 Saluti ***
Si,No,Si,10,Si,10,10,Si,10,Si,Continuare a lavorare cosi
Si,No,No,10,,2,10,Si,10,Si,Appuntamenti con un lasso di tempo più breve se possibile
Si,No,No,10,,10,10,Si,10,Si,Personale gentile e rispetto degli orari prefissati
Si,No,No,10,,10,10,Si,10,Si,"Un plauso in particolare alla gentilezza e professionalità di ***,merito sostituto di *** ."
Si,No,No,1,,6,6,No,1,No,Sempre problemi con voi.Quando mi sono recata all'ora indicata x il ritiro dell'auto *** non era presente a causa di un altro impegno per cui sono stata invitata dai colleghi presenti che hanno lo stesso incarico e che non erano occupati con altri clie
No,Si,No,9,,9,9,,9,No,Di solito per interventi sopra le 2H viene concessa auto sostitutiva se la macchina è ancora in garanzia/intervento in garanzia senza costi aggiuntivi. Non capita mai tranne che nella sede vicino di ***. Sarebbe un servizio utile visti i tempi
No,Si,No,10,,10,10,,10,No,Non fatemi ridere. Vi mando una pec dopo molte telefonate e non vi degnate di rispondere.poi fate la commedia.
Si,No,No,5,,5,9,No,5,No,La sera stessa del giorno in cui ho fatto il tagliando la mia macchina ha presentato un problema ai sensori che non avevo mai avuto in precedenza. In particolare in fase di manovra il suono dei sensori si attiva e anche quando termino la manovra e mi mett
No,No,Si,5,No,9,9,Si,7,No,"Mi era stato detto che l'intervento sarebbe costato un centinaio di euro di materiale più manodopera, ma la fattura finale ammonta a 300 euro."
Si,No,No,10,,10,10,Si,10,Si,PREZZO ALTO  PER MANUTENZIONE ORDINARIA
Si,Si,No,10,,10,10,Si,10,Si,Ottima dimostrazione di qualità con video della lavorazione in corso e spiegazione e richiesta di ev lavori extra Grande professionalità Macchine di cortesia entusiasmanti
Si,No,No,9,,10,9,No,10,Si,Davvero tutto ok.
Si,No,No,9,,10,9,Si,9,No,"Per un 10 si deve essere Top. Anche perché nel video mi si fa vedere cofano aperto e non il lavoro che si sta facendo. Ottimo per la collega del servire ***, gentile ed efficiente."
Si,No,No,10,,10,10,Si,10,Si,Il prezzo per un semplice cambio olio e filtri sta diventando troppo elevato.
No,No,Si,10,Si,10,10,Si,10,Si,Nessuno
No,No,Si,10,Si,10,10,Si,10,Si,"Ottimo lavoro! E complimenti a ***, TOP!!!"
No,Si,No,9,,10,10,,10,Si,La gentilezza degli operatori dell' officina è fantastica.. grazie
Si,No,No,10,,10,10,No,10,Si,Tutto ok x la mia smart
No,No,Si,4,No,6,8,Si,8,No,"Macchina in garanzia Mercedes Certified, ho avuto un guasto alla pompa dell’acqua. Non mi è stata data auto sostitutiva. Macchina presa a noleggio per 2 settimane senza avvisarci della eventuale disponibilità di auto sostitutiva la seconda settimana. Il v"
No,No,Si,10,Si,10,10,Si,10,Si,Molto brava signor ***
Si,No,No,9,,9,10,Si,7,No,Non mi sono stati dettagliati gli interventi eseguiti anche se trattavasi di tagliando gratuito datomi all'acquisto.
Si,No,No,9,,10,10,Si,10,Si,Maggior comunicazione tra centralino e officina onde evitare il disguido della mancanza della macchina sostitutiva richiesta
Si,No,No,1,,10,9,Si,9,No,Non soddisfatta della modalità di vendita del veicolo. Mai più mi rivolgerò ad Autotorino per un ulteriore acquisto.
Si,No,No,10,,10,10,Si,10,Si,"Massima competenza, cortesia, professionalità e disponibilità! TOP"
Si,No,No,9,,9,9,No,9,Si,Ho fatto revisione non tagliando
Si,No,No,9,,9,9,Si,5,No,"Salve in merito al questionario dò non soddisfatto sui costi in fattura in quanto è la prima volta, dopo ormai anni che sono cliente e ad aver acquistato ben 04 autovetture, di non aver avuto nessuno sconto in fattura in merito al primo tagliando fatto di"
Si,No,No,10,,10,10,Si,10,Si,"Sono contento, molto bravi."
No,No,No,9,,9,9,,9,Si,L' unico suggerimento è di continuare così che andiamo bene
Si,No,No,9,,9,9,Si,9,Si,"il tagliando è avvenuto in tempi rapidi ma, a mio avviso, è un poco caro. $20 euro per due ore di lavoro mi sembrano eccessive"
Si,No,No,10,,10,10,Si,10,Si,"Non ho chiesto spiegazioni dei lavori effettuati, mi sono fidata di ciò che è stato proposto nel preventivo inviatomi e di Quello riportato in fattura, spero di aver fatto bene."
No,No,Si,8,Si,10,10,Si,4,Si,Tempi di diagnostica eterni preventivo dopo 7 giorni di attesa costi sproporzionati al tipo di intervento. Pagati 400 euro per la diagnostica un furto.
Si,No,No,10,,10,10,Si,10,Si,Professionalità cordialità e serietà
No,No,Si,2,No,10,10,Si,2,No,Nonostante molti mesi trascorsi e un esborso economico enorme ah oggi non è sta trovata alcuna soluzione. La proposta è prima di chiudere ripetutamente del danaro verificare che la riparazione sia andata a buon fine perché appena la macchina viene consegn
